timestamp,flow(L/s),voltage(V),power(W)
2025-11-22 21:11:35,0.000,0.992,0.000
2025-11-22 21:11:35,0.000,0.992,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:35,0.000,0.992,0.000
2025-11-22 21:11:35,0.000,0.992,0.000
2025-11-22 21:11:35,0.000,0.988,0.000
2025-11-22 21:11:36,0.000,0.996,0.000
2025-11-22 21:11:36,0.000,0.996,0.000
2025-11-22 21:11:36,0.000,0.992,0.000
2025-11-22 21:11:36,0.000,0.992,0.000
2025-11-22 21:11:36,0.000,0.988,0.000
2025-11-22 21:11:36,0.000,0.992,0.000
2025-11-22 21:11:36,0.000,0.988,0.000
2025-11-22 21:11:37,0.000,0.988,0.000
2025-11-22 21:11:37,0.000,0.988,0.000
2025-11-22 21:11:37,0.000,0.992,0.000
2025-11-22 21:11:38,0.000,0.992,0.000
2025-11-22 21:11:38,0.000,0.992,0.000
2025-11-22 21:11:38,0.000,0.992,0.000
2025-11-22 21:11:38,0.000,0.992,0.000
2025-11-22 21:11:38,0.000,0.996,0.000
2025-11-22 21:11:38,0.000,0.996,0.000
2025-11-22 21:11:38,0.021,0.996,0.000
2025-11-22 21:11:39,0.000,1.000,0.000
2025-11-22 21:11:39,0.000,0.996,0.000
2025-11-22 21:11:39,0.000,0.992,0.000
2025-11-22 21:11:40,0.000,0.996,0.000
2025-11-22 21:11:40,0.000,0.996,0.000
2025-11-22 21:11:40,0.000,0.996,0.000
2025-11-22 21:11:40,0.000,0.996,0.000
2025-11-22 21:11:40,0.000,0.992,0.000
2025-11-22 21:11:40,0.000,0.992,0.000
2025-11-22 21:11:40,0.000,0.992,0.000
2025-11-22 21:11:41,0.000,0.992,0.000
2025-11-22 21:11:41,0.000,0.992,0.000
2025-11-22 21:11:41,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:42,0.000,0.992,0.000
2025-11-22 21:11:43,0.000,0.992,0.000
2025-11-22 21:11:43,0.000,0.992,0.000
2025-11-22 21:11:43,0.000,0.992,0.000
2025-11-22 21:11:43,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.988,0.000
2025-11-22 21:12:05,0.000,0.992,0.000
2025-11-22 21:12:05,0.000,0.996,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.996,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.992,0.000
2025-11-22 21:12:07,0.000,0.996,0.000
2025-11-22 21:12:07,0.000,0.996,0.000
2025-11-22 21:12:09,0.000,0.996,0.000
2025-11-22 21:12:09,0.000,0.996,0.000
2025-11-22 21:12:09,0.000,0.992,0.000
2025-11-22 21:12:09,0.000,0.996,0.000
2025-11-22 21:12:09,0.021,0.996,0.000
2025-11-22 21:12:09,0.021,0.996,0.000
2025-11-22 21:12:09,0.299,0.996,0.000
2025-11-22 21:12:09,0.470,0.992,0.000
2025-11-22 21:12:09,0.513,0.996,0.000
2025-11-22 21:12:09,0.534,0.992,0.000
2025-11-22 21:12:11,0.525,0.996,0.000
2025-11-22 21:12:11,0.513,0.996,0.000
2025-11-22 21:12:11,0.513,0.996,0.000
2025-11-22 21:12:11,0.513,0.996,0.000
2025-11-22 21:12:11,0.491,0.992,0.000
2025-11-22 21:12:11,0.513,0.992,0.000
2025-11-22 21:12:11,0.491,0.992,0.000
2025-11-22 21:12:11,0.513,0.992,0.000
2025-11-22 21:12:11,0.491,0.992,0.000
2025-11-22 21:12:12,0.491,0.992,0.000
2025-11-22 21:12:13,0.487,0.992,0.000
2025-11-22 21:12:13,0.491,0.992,0.000
2025-11-22 21:12:13,0.491,0.988,0.000
2025-11-22 21:12:13,0.470,0.992,0.000
2025-11-22 21:12:13,0.491,0.992,0.000
2025-11-22 21:12:13,0.470,0.992,0.000
2025-11-22 21:12:13,0.470,0.992,0.000
2025-11-22 21:12:13,0.491,0.988,0.000
2025-11-22 21:12:13,0.470,0.992,0.000
2025-11-22 21:12:14,0.491,0.992,0.000
2025-11-22 21:12:15,0.473,0.992,0.000
2025-11-22 21:12:15,0.491,0.996,0.000
2025-11-22 21:12:15,0.470,0.992,0.000
2025-11-22 21:12:15,0.470,0.992,0.000
2025-11-22 21:12:15,0.449,0.992,0.000
2025-11-22 21:12:15,0.470,0.992,0.000
2025-11-22 21:12:15,0.470,0.996,0.000
2025-11-22 21:12:15,0.470,0.996,0.000
2025-11-22 21:12:16,0.470,0.992,0.000
2025-11-22 21:12:16,0.470,0.996,0.000
2025-11-22 21:12:17,0.469,0.992,0.000
2025-11-22 21:12:17,0.470,0.992,0.000
2025-11-22 21:12:17,0.470,0.992,0.000
2025-11-22 21:12:17,0.470,0.996,0.000
2025-11-22 21:12:17,0.470,0.992,0.000
2025-11-22 21:12:17,0.491,0.996,0.000
2025-11-22 21:12:17,0.470,0.996,0.000
2025-11-22 21:12:17,0.449,0.996,0.000
2025-11-22 21:12:18,0.470,0.996,0.000
2025-11-22 21:12:18,0.470,0.996,0.000
2025-11-22 21:12:19,0.467,0.996,0.000
2025-11-22 21:12:19,0.470,0.996,0.000
2025-11-22 21:12:19,0.470,0.996,0.000
2025-11-22 21:12:19,0.470,0.996,0.000
2025-11-22 21:12:19,0.470,0.996,0.000
2025-11-22 21:12:19,0.470,0.996,0.000
2025-11-22 21:12:19,0.470,0.992,0.000
2025-11-22 21:12:19,0.470,0.992,0.000
2025-11-22 21:12:20,0.449,0.992,0.000
2025-11-22 21:12:20,0.470,0.992,0.000
2025-11-22 21:12:21,0.467,0.996,0.000
2025-11-22 21:12:21,0.470,0.996,0.000
2025-11-22 21:12:21,0.449,0.996,0.000
2025-11-22 21:12:21,0.470,0.996,0.000
2025-11-22 21:12:21,0.470,0.988,0.000
2025-11-22 21:12:21,0.449,0.992,0.000
2025-11-22 21:12:21,0.470,0.988,0.000
2025-11-22 21:12:22,0.470,0.988,0.000
2025-11-22 21:12:22,0.449,0.992,0.000
2025-11-22 21:12:22,0.470,0.992,0.000
2025-11-22 21:12:23,0.467,0.996,0.000
2025-11-22 21:12:23,0.470,0.996,0.000
2025-11-22 21:12:23,0.470,0.992,0.000
2025-11-22 21:12:23,0.449,0.988,0.000
2025-11-22 21:12:23,0.470,0.988,0.000
2025-11-22 21:12:23,0.449,0.992,0.000
2025-11-22 21:12:23,0.470,0.992,0.000
2025-11-22 21:12:24,0.470,0.992,0.000
2025-11-22 21:12:24,0.470,0.992,0.000
2025-11-22 21:12:24,0.470,0.992,0.000
2025-11-22 21:12:25,0.465,0.996,0.000
2025-11-22 21:12:25,0.470,0.996,0.000
2025-11-22 21:12:25,0.470,0.992,0.000
2025-11-22 21:12:25,0.449,0.992,0.000
2025-11-22 21:12:25,0.299,0.992,0.000
2025-11-22 21:12:25,0.128,0.988,0.000
2025-11-22 21:12:25,0.043,0.988,0.000
2025-11-22 21:12:26,0.085,0.988,0.000
2025-11-22 21:12:26,0.085,0.980,0.000
2025-11-22 21:12:26,0.043,0.988,0.000
2025-11-22 21:12:27,0.022,0.984,0.000
2025-11-22 21:12:27,0.021,0.976,0.000
2025-11-22 21:12:27,0.000,0.972,0.000
2025-11-22 21:12:27,0.000,0.976,0.000
2025-11-22 21:12:27,0.000,0.952,0.000
